num_guests,duration_days,num_sub_events,is_vegetarian,season,actual_food_kg
1359,1,1,1,2,1300.9619877638424
1558,1,6,0,4,1594.187127438509
241,2,2,0,2,604.5034905321521
1486,5,4,0,4,9000.532360529327
1707,7,1,0,4,13470.5205298823
368,2,3,0,1,839.5739414783146
785,7,3,1,1,6086.978221861111
1148,1,4,0,3,1483.7028371648232
1316,7,3,0,1,9469.620300004637
516,7,3,0,2,4713.436913958011
828,3,4,1,2,2486.3442681285464
479,6,3,0,2,3428.0273272218915
551,2,4,1,3,1305.747055523254
1360,6,5,0,3,10583.214188202735
1639,1,2,0,3,1881.396816501239
185,2,5,1,2,401.69615492925436
860,6,4,0,3,5467.66620145367
1575,5,5,1,4,9116.520496885743
867,3,2,0,4,2713.316191109113
146,7,1,0,2,1307.9829747528956
914,5,1,1,4,4880.663404930276
1008,5,3,0,1,6262.589337714205
1149,7,3,1,1,7867.417595809242
373,4,1,1,2,1554.337934377367
267,7,6,1,2,1750.1190080970227
1611,2,5,0,3,3793.5970620533794
279,3,3,0,1,915.5057139714376
1211,1,1,1,1,1430.749748887446
1140,7,2,0,4,10629.850206615467
388,3,5,1,2,1358.2568258387964
1596,6,6,0,3,10985.203214361694
1425,6,3,1,4,7925.32200477808
510,1,3,0,2,617.6602546928816
64,1,6,0,2,66.25584708718264
114,7,3,0,2,882.9758891172515
1044,2,5,0,4,2285.3401567162673
1018,7,4,0,1,7448.196031490677
932,3,4,1,4,3208.576401887099
160,6,6,0,1,1102.449295401135
744,7,1,0,2,5607.430198366415
968,2,4,0,3,2262.4811798931923
1840,1,4,0,1,2267.9819791730824
1157,7,1,0,2,8654.83436861362
1044,4,2,1,1,3925.010811834915
54,4,3,1,3,219.59277624124095
1546,7,5,1,2,10252.759191712401
495,1,5,0,3,510.7376734051064
1246,4,5,0,1,6662.426193197954
214,7,2,0,1,1858.0955867883877
531,4,1,0,1,2594.5536356815683
908,6,5,1,3,5184.6708231824505
1516,3,2,1,4,4229.052624853355
1371,3,4,1,1,3676.0623988269767
1322,5,1,0,2,7821.190516836039
321,3,1,0,3,1067.6619644878037
947,7,5,1,1,7221.336757690981
1185,3,6,0,2,3916.7470184242748
1872,1,6,0,3,2073.4136123070975
481,6,3,0,3,3414.356057813892
564,7,1,0,4,5102.414861684015
140,1,3,0,3,149.3847483789411
954,5,6,1,1,4408.560607892105
1985,6,2,0,3,14400.345016201538
353,4,2,0,3,1603.4246796292036
1960,7,1,1,2,15003.83262419547
1415,1,3,1,2,1649.821875253969
534,7,2,0,4,3815.994854511708
1558,3,4,0,3,4983.55561735603
1486,1,4,0,4,1616.1310701920895
1722,4,3,1,2,6593.250725766623
1401,2,4,1,3,3215.8913322399526
1633,3,3,1,3,5731.601856883883
286,3,2,1,1,792.1017874965362
939,3,6,1,4,3017.1310309097316
1097,1,4,0,3,1127.1460592756525
943,1,5,0,3,1092.0532886481476
1993,6,3,1,1,13210.803978704884
665,5,3,1,3,3359.9554422291794
655,5,2,0,4,4050.892315253304
826,6,6,0,3,5697.1716310233405
1757,1,3,1,2,1789.8151034210455
1237,5,6,1,4,6322.371614700393
1433,2,5,1,2,3114.4210718441473
631,5,6,1,1,3577.9964310921137
1588,2,6,1,2,3590.6241946927435
351,1,1,0,4,427.8005430337009
1623,1,4,1,2,1792.3579999938931
836,4,4,0,2,4126.22707134076
61,7,1,1,2,402.7627730873406
1475,5,4,0,2,9750.827707855495
298,4,2,1,3,1398.4088223394797
1875,4,5,1,4,8681.031049952091
1573,7,4,1,3,12269.311816258669
1770,6,3,1,2,10328.538791220486
208,6,3,0,3,1405.0589824248975
1878,5,1,0,2,10240.27153694359
1471,2,6,0,1,3390.707705534738
727,5,4,1,1,3462.0823727478096
910,4,5,0,4,4271.469601446714
1980,3,3,1,4,6242.057960966618
1554,5,5,0,4,8442.530809090387
942,4,1,1,3,4105.821793344624
1684,4,6,0,4,8910.68592042885
1324,5,1,1,1,6063.472463255196
927,2,4,0,1,2039.961309527157
720,2,4,1,3,1608.6027214721175
826,3,4,1,1,2554.0278410203714
1584,5,1,1,2,8586.014941906085
1649,6,1,0,2,10683.38517456203
91,5,2,0,2,533.4087204215398
284,5,2,1,3,1588.651604000761
393,5,5,0,2,2629.353257666544
271,5,1,1,4,1366.932630171744
1514,2,1,0,1,3778.3463889005543
667,7,6,0,1,5274.481853325988
927,6,3,0,3,5655.275299987586
910,7,4,0,4,8515.198171065442
1351,7,4,0,4,10137.395443834417
1118,6,3,1,4,6844.612608623828
1547,5,3,1,2,8800.31921604229
227,3,4,0,4,820.485317708754
1418,4,3,0,4,7371.879014552941
422,4,2,1,3,1674.6321142766096
1852,5,6,1,1,9671.498600211446
441,1,2,1,4,465.6463146643574
542,6,4,1,4,3663.3814530883906
240,3,2,1,2,706.999097483018
1241,3,4,1,4,4419.199305275217
1177,3,3,1,3,3467.6786773884573
522,1,6,0,3,549.587556540609
1147,7,6,0,2,8715.718892335046
1041,3,6,1,1,3554.8816184651178
656,2,3,0,3,1334.6648970209849
1143,2,3,0,1,2741.505276859297
1478,2,6,1,1,3399.9845823867336
1225,3,4,1,4,3646.297007741245
155,3,4,0,1,533.6985242184138
201,5,6,0,2,1068.1684556836578
1202,3,1,0,1,4330.263834955519
902,5,5,0,4,5252.114329868795
956,3,5,1,3,3039.7443085598393
173,5,6,0,2,1058.4237941893277
